codigo;nome;fonte
"SSRD";"Solda Suporte Rolo DUO";"PC Factory D0021 - Recurso"
"STA3";"SOL.TUB.ART.310";"PC Factory D0021 - Recurso"
"STC3";"SOL.TUB.CAB.310";"PC Factory D0021 - Recurso"
"STCG";"S.Travessas";"PC Factory D0021 - Recurso"
"STRC";"pre.sol.menores tiller";"PC Factory D0021 - Recurso"
"STRCG";"SOLD. TRAVAMENTO RODADO";"PC Factory D0021 - Recurso"
"TCNC-1";"TORNO CNC 01";"PC Factory D0021 - Recurso"
"TESTCG";"TESTE FINAL CARRETAS";"PC Factory D0021 - Recurso"
"TESTCS";"TESTE FINAL FERTTI";"PC Factory D0021 - Recurso"
"TESTDC";"TESTE FINAL TERRUS";"PC Factory D0021 - Recurso"
"TESTE";"TESTE PM";"PC Factory D0021 - Recurso"
"TESTE1";"TESTE FINAL FLEXER";"PC Factory D0021 - Recurso"
"TESTE10";"TESTEMES";"PC Factory D0021 - Recurso"
"TESTEP";"TESTE FINAL PRO";"PC Factory D0021 - Recurso"
"TESTNT";"TESTE FINAL TILLER";"PC Factory D0021 - Recurso"
"TESTPN";"TESTE FINAL PLAINA";"PC Factory D0021 - Recurso"
"TESTSM";"TEST FINAL SEMEADORA";"PC Factory D0021 - Recurso"
"TINTA";"PINTURA LIQUIDA";"PC Factory D0021 - Recurso"
"TORNOC";"NARDINI ND250";"PC Factory D0021 - Recurso"
"TRAN";"TRANSMISSAO PC";"PC Factory D0021 - Recurso"
"TRANSM";"TRANSMISSAO";"PC Factory D0021 - Recurso"
"VELLOX";"VELLOX";"PC Factory D0021 - Recurso"
"X10";"X10";"PC Factory D0021 - Recurso"
